source,target
/courses-2?add-to-cart=7630,/use-and-administration-of-epinephrine-auto-injectors?utm_source=old_site
/courses-2?add-to-cart=7632,/bloodborne-pathogens?utm_source=old_site
/product/advanced-cardiovascular-life-support,/advanced-cardiovascular-life-support?utm_source=old_site
/product/bloodborne-pathogens,/bloodborne-pathogens?utm_source=old_site
/courses-2,/courses?utm_source=old_site
/?add-to-cart=8154,/active-shooter-training?utm_source=old_site
/courses-2?add-to-cart=7634,/emergency-use-of-medical-oxygen?utm_source=old_site
/courses-2?add-to-cart=8154,/active-shooter-training?utm_source=old_site
/courses-2?add-to-cart=8381,/cpr-first-aid?utm_source=old_site
/how-it-works,/?utm_source=old_site
/product/active-shooter-training-empower-your-team,/active-shooter-training?utm_source=old_site
/my-account/lost-password,/?utm_source=old_site
/gallery,/?utm_source=old_site
/product/advanced-tactical-casualty-care,/advanced-tactical-casualty-care?utm_source=old_site
/product/child-and-babysitting-safety,/child-and-babysitting-safety?utm_source=old_site
/courses-2?add-to-cart=7624,/pediatric-first-aid-cpr-aed?utm_source=old_site
/my-account,/?utm_source=old_site
/courses-2?add-to-cart=7622,/pediatric-advanced-life-support?utm_source=old_site
/courses-2?add-to-cart=7623,/cpr-first-aid?utm_source=old_site
/?add-to-cart=8448,/pediatric-first-aid-cpr-aed?utm_source=old_site
/?add-to-cart=7634,/emergency-use-of-medical-oxygen?utm_source=old_site
/?add-to-cart=13009,/critical-care-transport?utm_source=old_site
/about-us,/?utm_source=old_site
/courses-2?add-to-cart=8448,/pediatric-first-aid-cpr-aed?utm_source=old_site
/contact-us,/contact?utm_source=old_site
/courses-2?add-to-cart=7625,/child-and-babysitting-safety?utm_source=old_site
/?add-to-cart=8381,/cpr-first-aid?utm_source=old_site
/courses-2?add-to-cart=7581,/basic-life-support?utm_source=old_site
/product/basic-life-support,/basic-life-support?utm_source=old_site
/courses-2?add-to-cart=7619,/advanced-cardiovascular-life-support?utm_source=old_site
/faqs,/faq?utm_source=old_site
/cart,/courses?utm_source=old_site
/?add-to-cart=13000,/advanced-tactical-casualty-care?utm_source=old_site
/?add-to-cart=12976,/community-paramedic?utm_source=old_site
/product/emt-basic-online-continuing-education-refresher-courses,/courses?utm_source=refesher_courses
/shop?add-to-cart=8320,/emergency-medical-responder?utm_source=old_site
/shop?add-to-cart=7625,/child-and-babysitting-safety?utm_source=old_site
/shop?add-to-cart=7623,/cpr-first-aid?utm_source=old_site
/product/critical-care-paramedic,/critical-care-transport?utm_source=old_site
/shop?add-to-cart=8154,/active-shooter-training?utm_source=old_site
/shop?add-to-cart=7634,/emergency-use-of-medical-oxygen?utm_source=old_site
/shop?add-to-cart=8448,/pediatric-first-aid-cpr-aed?utm_source=old_site
/product/emergency-medical-technitian,/emergency-medical-technician?utm_source=old_site
/critical-care-paramedic,/critical-care-transport
/programs?add-to-cart=12976,/community-paramedic?utm_source=old_site
/shop?add-to-cart=12976,/community-paramedic?utm_source=old_site
/shop?add-to-cart=13000,/advanced-tactical-casualty-care?utm_source=old_site
/shop?add-to-cart=7632,/bloodborne-pathogens?utm_source=old_site
/product/emergency-medical-responder,/emergency-medical-responder?utm_source=old_site
/product/community-paramedic,/community-paramedic?utm_source=old_site
/request-information-emt,/emergency-medical-technician?utm_source=old_site
/shop,/courses?utm_source=old_site
/shop?add-to-cart=13009,/critical-care-transport?utm_source=old_site
/product/paramedic,/paramedic?utm_source=old_site
/programs?add-to-cart=8320,/emergency-medical-responder?utm_source=old_site
/product/use-and-administration-of-epinephrine-auto-injectors,/use-and-administration-of-epinephrine-auto-injectors?utm_source=old_site
/product/cpr-first-aid,/cpr-first-aid?utm_source=old_site
/shop/page/2?add-to-cart=8381,/cpr-first-aid?utm_source=old_site
/product/rcp-primeros-auxilios,/?utm_source=old_site
/shop/page/2,/courses?utm_source=old_site
/shop?add-to-cart=7581,/basic-life-support?utm_source=old_site
/programs?add-to-cart=13009,/critical-care-transport?utm_source=old_site
/product/pediatric-advanced-life-support-pals,/pediatric-advanced-life-support?utm_source=old_site
/shop/page/2?add-to-cart=7624,/pediatric-first-aid-cpr-aed?utm_source=old_site
/shop/page/2?add-to-cart=7630,/use-and-administration-of-epinephrine-auto-injectors?utm_source=old_site
/shop?add-to-cart=7619,/advanced-cardiovascular-life-support?utm_source=old_site
/product/primeros-auxilios-pediatricos-rcp-dea,/?utm_source=old_site
/product/pediatric-first-aid-cpr-aed,/pediatric-first-aid-cpr-aed?utm_source=old_site
/shop/page/1,/courses?utm_source=old_site
/product/emergency-use-of-medical-oxygen,/emergency-use-of-medical-oxygen?utm_source=old_site
/programs?add-to-cart=13000,/advanced-tactical-casualty-care?utm_source=old_site
/shop?add-to-cart=7622,/pediatric-advanced-life-support?utm_source=old_site
/how-it-works/courses-how-it-works,/how-it-works/couress
/how-it-works/programs-how-it-works,/how-it-works/programs
